tab	samples												
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
	189	0	0	90	This study	-62			0		SO-CMD-NORTH	SD1-1	SD1
	113	0	0	90	This study	-73			0		SO-CMD-NORTH	SD1-2	SD1
	-61	0	0	90	This study	-28			0		SO-CMD-NORTH	SD1-3	SD1
	115	0	0	90	This study	-120			0		SO-CMD-NORTH	SD1-4	SD1
	232	0	0	90	This study	-19			0		SO-CMD-NORTH	SD1-5	SD1
	86	0	0	90	This study	-76			0		SO-CMD-NORTH	SD1-6	SD1
	23	0	0	90	This study	-85			0		SO-CMD-NORTH	SD1-7	SD1
	153	0	0	90	This study	-87			0		SO-CMD-NORTH	SD2-1	SD2
	-16.5	0	0	90	This study	-47			0		SO-CMD-NORTH	SD2-2	SD2
	-40	0	0	90	This study	-27			0		SO-CMD-NORTH	SD2-3	SD2
	-21	0	0	90	This study	-76			0		SO-CMD-NORTH	SD3-1	SD3
	36	0	0	90	This study	-67			0		SO-CMD-NORTH	SD3-2	SD3
	10	0	0	90	This study	-63			0		SO-CMD-NORTH	SD3-3	SD3
	-51	0	0	90	This study	-75			0		SO-CMD-NORTH	SD4-1	SD4
	210	0	0	90	This study	-78			0		SO-CMD-NORTH	SD4-2	SD4
	176	0	0	90	This study	-44			0		SO-CMD-NORTH	SD4-3	SD4
	32	0	0	90	This study	-100			0		SO-CMD-NORTH	SD4-4	SD4
	-64	0	0	90	This study	-62			0		SO-CMD-NORTH	SD5-1	SD5
	-61	0	0	90	This study	-51			0		SO-CMD-NORTH	SD5-2	SD5
	100	0	0	90	This study	-101			0		SO-CMD-NORTH	SD5-3	SD5
	28	0	0	90	This study	-82			0		SO-CMD-NORTH	SD5-4	SD5
	245	0	0	90	This study	-43			0		SO-CMD-NORTH	SD6-1	SD6
	174	0	0	90	This study	-23			0		SO-CMD-NORTH	SD6-2	SD6
	120	0	0	90	This study	-97			0		SO-CMD-NORTH	SD6-3	SD6
	181	0	0	90	This study	-85			0		SO-CMD-NORTH	SD7-1	SD7
	160	0	0	90	This study	-47			0		SO-CMD-NORTH	SD7-2	SD7
	38	0	0	90	This study	-61			0		SO-CMD-NORTH	SD7-3	SD7
	56	0	0	90	This study	-36			0		SO-CMD-NORTH	SD7-4	SD7
	97	0	0	90	This study	-32			0		SO-CMD-NORTH	SD8-1	SD8
	-6	0	0	90	This study	-5			0		SO-CMD-NORTH	SD8-2	SD8
	-4	0	0	90	This study	-63			0		SO-CMD-NORTH	SD8-3	SD8
	170	0	0	90	This study	-46			0		SO-CMD-NORTH	SD9-1	SD9
	24	0	0	90	This study	-62			0		SO-CMD-NORTH	SD9-2	SD9
	241	0	0	90	This study	-61			0		SO-CMD-NORTH	SD9-3	SD9
	126	0	0	90	This study	-17			0		SO-CMD-NORTH	SD10-1	SD10
	256	0	0	90	This study	-7			0		SO-CMD-NORTH	SD10-2	SD10
	237	0	0	90	This study	-16			0		SO-CMD-NORTH	SD10-3	SD10
	-87	0	0	90	This study	-12			0		SO-CMD-NORTH	SD10-4	SD10
	16	0	0	90	This study	-90			0		SO-CMD-NORTH	SD11-1	SD11
	256	0	0	90	This study	-29			0		SO-CMD-NORTH	SD11-2	SD11
	14	0	0	90	This study	-97			0		SO-CMD-NORTH	SD11-3	SD11
	-7	0	0	90	This study	-22			0		SO-CMD-NORTH	SD12-1	SD12
	144	0	0	90	This study	-60			0		SO-CMD-NORTH	SD12-2	SD12
	138	0	0	90	This study	-76			0		SO-CMD-NORTH	SD12-3	SD12
	55	0	0	90	This study	-65			0		SO-CMD-NORTH	SD13-1	SD13
	104	0	0	90	This study	-82			0		SO-CMD-NORTH	SD13-2	SD13
	180	0	0	90	This study	-39			0		SO-CMD-NORTH	SD13-3	SD13
	167	0	0	90	This study	-104			0		SO-CMD-NORTH	SD14-1	SD14
	180	0	0	90	This study	-79			0		SO-CMD-NORTH	SD14-2	SD14
	-27	0	0	90	This study	-80			0		SO-CMD-NORTH	SD14-3	SD14
	165	0	0	90	This study	-33			0		SO-CMD-NORTH	SD15-1	SD15
	128	0	0	90	This study	-41			0		SO-CMD-NORTH	SD15-2	SD15
	135	0	0	90	This study	-36			0		SO-CMD-NORTH	SD15-3	SD15
	253	0	0	90	This study	-83			0		SO-CMD-NORTH	SD15-4	SD15
	264	0	0	90	This study	-57			0		SO-CMD-NORTH	SD16-1	SD16
	58	0	0	90	This study	-56			0		SO-CMD-NORTH	SD16-2	SD16
	68	0	0	90	This study	-63			0		SO-CMD-NORTH	SD16-3	SD16
	-37	0	0	90	This study	-10			0		SO-CMD-NORTH	SD16-4	SD16
	149	0	0	90	This study	-84			0		SO-CMD-NORTH	SD17-1	SD17
	175	0	0	90	This study	-75			0		SO-CMD-NORTH	SD17-2	SD17
	173	0	0	90	This study	-74			0		SO-CMD-NORTH	SD17-3	SD17
	-77	0	0	90	This study	-56			0		SO-CMD-NORTH	SD18-1	SD18
	160	0	0	90	This study	-59			0		SO-CMD-NORTH	SD18-2	SD18
	267	0	0	90	This study	-33			0		SO-CMD-NORTH	SD18-3	SD18
	-77	0	0	90	This study	-50			0		SO-CMD-NORTH	SD18-4	SD18
	1	0	0	90	This study	-60			0		SO-CMD-NORTH	SD18-5	SD18
