tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
AynC	Zalawt plain	AynC-1:AynC-11:AynC-12:AynC-13:AynC-14:AynC-15:AynC-16:AynC-17:AynC-2:AynC-3:AynC-4:AynC-5:AynC-6:AynC-7:AynC-8:AynC-9	AynC-1:AynC-11:AynC-12:AynC-13:AynC-14:AynC-15:AynC-16:AynC-17:AynC-2:AynC-3:AynC-4:AynC-5:AynC-6:AynC-7:AynC-8:AynC-9	    6.4 	lt	    8.0 	   27.3 	    34 	16.0	16 	16 	0 	n	15.5562 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    7.0 	    3.8 	   81.9 	  162.6 
AynC	Zalawt plain	AynC-1:AynC-10:AynC-11:AynC-12:AynC-13:AynC-14:AynC-15:AynC-16:AynC-17:AynC-2:AynC-3:AynC-4:AynC-5:AynC-6:AynC-7:AynC-9	AynC-1:AynC-10:AynC-11:AynC-12:AynC-13:AynC-14:AynC-15:AynC-16:AynC-17:AynC-2:AynC-3:AynC-4:AynC-5:AynC-6:AynC-7:AynC-9	   71.8 	mag	  315.5 	   41.3 	     1 	16.0	16 	16 	0 	n	3.8924 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	   87.5 	   53.3 	   47.9 	  341.6 
AynC	Zalawt plain	AynC-10:AynC-15:AynC-16:AynC-17:AynC-2:AynC-3:AynC-4:AynC-5:AynC-6	AynC-10:AynC-15:AynC-16:AynC-17:AynC-2:AynC-3:AynC-4:AynC-5:AynC-6	   39.3 	mt	   64.1 	   46.7 	     3 	9.0	9 	9 	0 	t	6.0077 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   50.6 	   32.6 	   30.4 	  122.1 
AynC	Zalawt plain	AynC-1:AynC-11:AynC-12:AynC-13:AynC-14:AynC-15:AynC-16:AynC-17:AynC-2:AynC-3:AynC-4:AynC-5:AynC-6:AynC-7:AynC-8:AynC-9	AynC-1:AynC-11:AynC-12:AynC-13:AynC-14:AynC-15:AynC-16:AynC-17:AynC-2:AynC-3:AynC-4:AynC-5:AynC-6:AynC-7:AynC-8:AynC-9	    6.4 	lt	    8.0 	   27.3 	    34 	16.0	16 	16 	0 	n	15.5562 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    7.0 	    3.8 	   81.9 	  162.6 
AynC	Zalawt plain	AynC-1:AynC-10:AynC-11:AynC-12:AynC-13:AynC-14:AynC-15:AynC-16:AynC-17:AynC-2:AynC-3:AynC-4:AynC-5:AynC-6:AynC-7:AynC-9	AynC-1:AynC-10:AynC-11:AynC-12:AynC-13:AynC-14:AynC-15:AynC-16:AynC-17:AynC-2:AynC-3:AynC-4:AynC-5:AynC-6:AynC-7:AynC-9	   71.8 	mag	  315.5 	   41.3 	     1 	16.0	16 	16 	0 	n	3.8924 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	g	   87.5 	   53.3 	   47.9 	  341.6 
AynC	Zalawt plain	AynC-10:AynC-15:AynC-16:AynC-17:AynC-2:AynC-3:AynC-4:AynC-5:AynC-6	AynC-10:AynC-15:AynC-16:AynC-17:AynC-2:AynC-3:AynC-4:AynC-5:AynC-6	   39.3 	mt	   64.1 	   46.7 	     3 	9.0	9 	9 	0 	t	6.0077 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   50.6 	   32.6 	   30.4 	  122.1 
S100	Zalawt plain	S100-2:S100-3	S100-2:S100-3	   20.0 	lt	  356.4 	   26.9 	   158 	2.0	2 	2 	0 	n	1.9937 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	   21.7 	   11.8 	   85.5 	  285.8 
S100	Zalawt plain	S100-2:S100-3	S100-2:S100-3	   20.0 	lt	  355.2 	   21.5 	   158 	2.0	2 	2 	0 	n	1.9937 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	   21.1 	   11.1 	   82.4 	  273.5 
S101	Zalawt plain	S101-1:S101-2:S101-3	S101-1:S101-2:S101-3	   10.7 	mag	  277.2 	  -61.3 	   134 	3.0	3 	3 	0 	t	2.9851 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   16.5 	   12.6 	   -6.3 	  282.4 
S101	Zalawt plain	S101-1:S101-2:S101-3	S101-1:S101-2:S101-3	   10.7 	mag	  267.1 	  -64.6 	   135 	3.0	3 	3 	0 	t	2.9851 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   17.2 	   13.8 	  -14.3 	  280.1 
