tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
SD1-1	SD1	0					189.0	0	0.0	90.0	-62	This study	SO-CMD-NORTH
SD1-2	SD1	0					113.0	0	0.0	90.0	-73	This study	SO-CMD-NORTH
SD1-3	SD1	0					-61.0	0	0.0	90.0	-28	This study	SO-CMD-NORTH
SD1-4	SD1	0					115.0	0	0.0	90.0	-120	This study	SO-CMD-NORTH
SD1-5	SD1	0					232.0	0	0.0	90.0	-19	This study	SO-CMD-NORTH
SD1-6	SD1	0					86.0	0	0.0	90.0	-76	This study	SO-CMD-NORTH
SD1-7	SD1	0					23.0	0	0.0	90.0	-85	This study	SO-CMD-NORTH
SD2-1	SD2	0					153.0	0	0.0	90.0	-87	This study	SO-CMD-NORTH
SD2-2	SD2	0					-16.5	0	0.0	90.0	-47	This study	SO-CMD-NORTH
SD2-3	SD2	0					-40.0	0	0.0	90.0	-27	This study	SO-CMD-NORTH
SD3-1	SD3	0					-21.0	0	0.0	90.0	-76	This study	SO-CMD-NORTH
SD3-2	SD3	0					36.0	0	0.0	90.0	-67	This study	SO-CMD-NORTH
SD3-3	SD3	0					10.0	0	0.0	90.0	-63	This study	SO-CMD-NORTH
SD4-1	SD4	0					-51.0	0	0.0	90.0	-75	This study	SO-CMD-NORTH
SD4-2	SD4	0					210.0	0	0.0	90.0	-78	This study	SO-CMD-NORTH
SD4-3	SD4	0					176.0	0	0.0	90.0	-44	This study	SO-CMD-NORTH
SD4-4	SD4	0					32.0	0	0.0	90.0	-100	This study	SO-CMD-NORTH
SD5-1	SD5	0					-64.0	0	0.0	90.0	-62	This study	SO-CMD-NORTH
SD5-2	SD5	0					-61.0	0	0.0	90.0	-51	This study	SO-CMD-NORTH
SD5-3	SD5	0					100.0	0	0.0	90.0	-101	This study	SO-CMD-NORTH
SD5-4	SD5	0					28.0	0	0.0	90.0	-82	This study	SO-CMD-NORTH
SD6-1	SD6	0					245.0	0	0.0	90.0	-43	This study	SO-CMD-NORTH
SD6-2	SD6	0					174.0	0	0.0	90.0	-23	This study	SO-CMD-NORTH
SD6-3	SD6	0					120.0	0	0.0	90.0	-97	This study	SO-CMD-NORTH
SD7-1	SD7	0					181.0	0	0.0	90.0	-85	This study	SO-CMD-NORTH
SD7-2	SD7	0					160.0	0	0.0	90.0	-47	This study	SO-CMD-NORTH
SD7-3	SD7	0					38.0	0	0.0	90.0	-61	This study	SO-CMD-NORTH
SD7-4	SD7	0					56.0	0	0.0	90.0	-36	This study	SO-CMD-NORTH
SD8-1	SD8	0					97.0	0	0.0	90.0	-32	This study	SO-CMD-NORTH
SD8-2	SD8	0					-6.0	0	0.0	90.0	-5	This study	SO-CMD-NORTH
SD8-3	SD8	0					-4.0	0	0.0	90.0	-63	This study	SO-CMD-NORTH
SD9-1	SD9	0					170.0	0	0.0	90.0	-46	This study	SO-CMD-NORTH
SD9-2	SD9	0					24.0	0	0.0	90.0	-62	This study	SO-CMD-NORTH
SD9-3	SD9	0					241.0	0	0.0	90.0	-61	This study	SO-CMD-NORTH
SD10-1	SD10	0					126.0	0	0.0	90.0	-17	This study	SO-CMD-NORTH
SD10-2	SD10	0					256.0	0	0.0	90.0	-7	This study	SO-CMD-NORTH
SD10-3	SD10	0					237.0	0	0.0	90.0	-16	This study	SO-CMD-NORTH
SD10-4	SD10	0					-87.0	0	0.0	90.0	-12	This study	SO-CMD-NORTH
SD11-1	SD11	0					16.0	0	0.0	90.0	-90	This study	SO-CMD-NORTH
SD11-2	SD11	0					256.0	0	0.0	90.0	-29	This study	SO-CMD-NORTH
SD11-3	SD11	0					14.0	0	0.0	90.0	-97	This study	SO-CMD-NORTH
SD12-1	SD12	0					-7.0	0	0.0	90.0	-22	This study	SO-CMD-NORTH
SD12-2	SD12	0					144.0	0	0.0	90.0	-60	This study	SO-CMD-NORTH
SD12-3	SD12	0					138.0	0	0.0	90.0	-76	This study	SO-CMD-NORTH
SD13-1	SD13	0					55.0	0	0.0	90.0	-65	This study	SO-CMD-NORTH
SD13-2	SD13	0					104.0	0	0.0	90.0	-82	This study	SO-CMD-NORTH
