tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
AynC-1	AynC-1_LP-DIR-T	AynC-1		lt	2.8	23.9	2.0	8.0	0.0	8.6	1.0	573.0	273.0	K		hargrave 2023-10-15 17:59:17	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-1	AynC-1_LP-DIR-T	AynC-1		mag	207.2	-25.0	2.0	12.0	0.0	0.0	2.0	863.0	783.0	K		hargrave 2023-10-15 17:59:17	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-10	AynC-10_LP-DIR-T	AynC-10		mt	149.9	0.5	2.0	6.0	0.0	3.6	1.8	593.0	473.0	K		hargrave 2023-11-14 11:15:14	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-10	AynC-10_LP-DIR-T	AynC-10		mag	148.9	-4.1	2.0	13.0	0.0	5.6	5.5	863.0	773.0	K		hargrave 2023-11-14 11:15:14	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-11	AynC-11_LP-DIR-T	AynC-11		mag	7.8	18.7	2.0	12.0	0.0	0.0	8.6	823.0	673.0	K		hargrave 2023-09-26 15:15:55	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-11	AynC-11_LP-DIR-T	AynC-11		lt	5.5	9.5	2.0	4.0	0.0	7.5	3.0	473.0	273.0	K		hargrave 2023-09-26 15:15:55	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-12	AynC-12_LP-DIR-T	AynC-12		mag	38.2	47.8	2.0	11.0	0.0	0.0	12.5	818.0	673.0	K		hargrave 2023-09-26 15:17:28	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-12	AynC-12_LP-DIR-T	AynC-12		lt	15.1	30.3	2.0	6.0	0.0	1.4	7.6	523.0	273.0	K		hargrave 2023-09-26 15:17:28	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-13	AynC-13_LP-DIR-T	AynC-13		lt	6.0	31.7	2.0	6.0	0.0	4.0	3.3	523.0	273.0	K		hargrave 2023-10-10 17:02:41	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-13	AynC-13_LP-DIR-T	AynC-13		mag	15.1	56.1	2.0	15.0	0.0	0.0	3.4	863.0	753.0	K		hargrave 2023-10-10 17:02:41	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
